N,time
0,0.000011000
1000,0.012087000
2000,0.025107000
3000,0.016865000
4000,0.028717000
5000,0.044157000
6000,0.062906000
7000,0.070136000
8000,0.091828000
9000,0.114195000
10000,0.140836000
11000,0.235633000
12000,0.204924000
13000,0.234395000
14000,0.276526000
15000,0.460754000
16000,0.346698000
17000,0.401341000
18000,0.537197000
19000,0.493939000
20000,0.557012000
21000,1.021252000
22000,0.681114000
23000,0.794680000
24000,0.788838000
25000,0.885677000
26000,0.955273000
27000,1.054742000
28000,1.125726000
29000,1.350184000
30000,1.297172000
